dnp.application_chunk,Application Chunk
dnp3.al.sa.mal,MAC Algorithm
dnp3.al.sa.rfc,Reason for Challenge
dnp3.al.sa.seq,Sequence Number
dnp3.al.sa.uk,Encrypted Update Key Data
dnp3.al.sa.ukl,Encrypted Update Key Length
dnp3.al.sa.usr,User Number
dnp3.al.sa.usrn,User Name
dnp3.al.sa.usrnl,User name Length
dnp3.al.seq,Sequence
dnp3.al.size,Size (8 bit)
dnp3.al.time_delay,Time Delay
dnp3.al.timestamp,Timestamp
dnp3.al.unknown_data_chunk,Unknown Data Chunk
dnp3.al.uns,Unsolicited
dnp3.buffering_user_data_until_final_frame_is_received,Expert Info
dnp3.ctl,Control
dnp3.ctl.clr,Queue / Clear Field
dnp3.ctl.dfc,Data Flow Control
dnp3.ctl.dir,Direction
dnp3.ctl.fcb,Frame Count Bit
dnp3.ctl.fcv,Frame Count Valid
dnp3.ctl.op,Operation Type
dnp3.ctl.prifunc,Control Function Code
dnp3.ctl.prm,Primary
dnp3.ctl.secfunc,Control Function Code
dnp3.ctl.trip,Trip Control Code
dnp3.data_chunk.CRC.incorrect,Data Chunk Checksum incorrect
dnp3.dst,Destination
dnp3.empty_field_limit,Empty field limit reached.  Potentially malicious packet
dnp3.hdr.CRC,Data Link Header checksum
dnp3.hdr.CRC.incorrect,Data Link Header Checksum incorrect
dnp3.hdr.CRC_bad,Bad CRC
dnp3.iin_abnormal,IIN Abnormality
dnp3.invalid_length,Invalid length
dnp3.len,Length
dnp3.num_items_invalid,Number of items is invalid for normally empty object.  Potentially malicious packet
dnp3.num_items_neg,Negative number of items
dnp3.src,Source
dnp3.start,Start Bytes
dnp3.tr.ctl,Transport Control
dnp3.tr.fin,Final
dnp3.tr.fir,First
dnp3.tr.seq,Sequence
dnp3.unknown_group0_variation,Unknown Group 0 Variation
dnp3.unknown_object,Unknown Object\Variation
